,label,text,length,title,title_length,click_through,abandoned_cart,unsubscribed,open_rate,num_pics,num_videos,video_length,length_binned,title_length_binned,campaign_type,industry
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",55,Wow,1,0,1,1,0,0,1,115,biggest,small,Revenue_Based,Industrial
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,SMS,1,1,0,1,0,1,1,88,big,small,Revenue_Based,Real_Estate
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,13,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,13,0,1,0,0,0,1,30,med,bigger,Engagement_Campaign,Hospitality
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",27,Congrats! 1 year special cinema pass for 2 is yours,10,1,1,0,1,2,2,166,big,big,Abandoned_Cart,Automotive
57,0,"Sorry, I'll call later in meeting.",6,"Sorry, I'll call later in meeting",6,1,0,0,1,4,1,72,small,med,Survey,Industrial
58,0,Tell where you reached,4,Tell where you reached,4,0,1,1,1,2,3,170,small,small,Abandoned_Cart,Real_Estate
59,0,Yes..gauti and sehwag out of odi series.,7,Yes,1,0,1,0,0,4,0,202,small,small,Abandoned_Cart,Automotive
60,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,Your gonna have to pick up a $1 burger for yourself on your way home,15,0,0,1,1,0,1,166,big,bigger,Survey,Medical
61,0,Ha ha ha good joke. Girls are situation seekers.,9,Ha ha ha good joke,5,0,0,0,1,3,0,129,small,med,Survey,Medical
62,0,Its a part of checking IQ,6,Its a part of checking IQ,6,0,1,0,1,2,0,1,small,med,Promotional,Medical
63,0,"Sorry my roommates took forever, it ok if I come by now?",12,"Sorry my roommates took forever, it ok if I come by now?",12,0,1,1,0,4,3,224,med,big,Abandoned_Cart,Hospitality
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,Ok lar i double check wif da hair dresser already he said wun cut v short,16,1,0,1,1,1,1,107,big,bigger,Abandoned_Cart,Real_Estate
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",28,"As a valued customer, I am pleased to advise you that following recent review of your Mob No",18,1,1,0,0,1,3,24,big,biggest,Survey,Automotive
66,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",23,Today is \song dedicated day,5,0,1,1,0,2,3,161,big,med,Abandoned_Cart,Hospitality
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000",12,1,1,0,0,4,2,2,big,big,Abandoned_Cart,Real_Estate
68,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",15,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",15,0,1,0,1,4,3,185,med,bigger,Revenue_Based,Real_Estate
69,0,I plane to give on this month end.,8,I plane to give on this month end,8,0,0,1,0,3,2,14,small,med,Revenue_Based,Hospitality
70,0,Wah lucky man... Then can save money... Hee...,8,Wah lucky man,3,0,1,1,1,4,0,29,small,small,Abandoned_Cart,Automotive
71,0,Finished class where are you.,5,Finished class where are you,5,1,0,1,1,0,2,56,small,med,Abandoned_Cart,Automotive
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,1,0,1,0,1,2,72,small,big,Survey,Medical
73,0,K..k:)where are you?how did you performed?,6,K,1,1,1,0,0,1,3,115,small,small,No_Opener,Industrial
74,0,U can call me now...,5,U can call me now,5,1,1,1,1,2,1,70,small,med,Survey,Automotive
75,0,I am waiting machan. Call me once you free.,9,I am waiting machan,4,0,1,1,0,3,3,210,small,small,Promotional,Industrial
76,0,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,Thats cool,2,1,1,0,1,4,0,6,med,small,No_Opener,Industrial
77,0,I like you peoples very much:) but am very shy pa.,11,I like you peoples very much:) but am very shy pa,11,1,0,1,0,0,1,146,med,big,Promotional,Automotive
78,0,Does not operate after  &lt;#&gt;  or what,7,Does not operate after  &lt;#&gt;  or what,7,1,0,0,1,4,3,46,small,med,Engagement_Campaign,Automotive
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,16,Its not the same here,5,0,0,0,0,5,1,187,med,med,Survey,Automotive
80,0,"Sorry, I'll call later",4,"Sorry, I'll call later",4,0,1,1,1,5,0,0,small,small,Abandoned_Cart,Real_Estate
81,0,K. Did you call me just now ah? ,8,K,1,0,1,1,0,5,1,118,small,small,Survey,Real_Estate
82,0,Ok i am on the way to home hi hi,10,Ok i am on the way to home hi hi,10,1,0,0,1,0,2,195,small,big,Engagement_Campaign,Automotive
83,0,You will be in the place of that man,9,You will be in the place of that man,9,1,1,1,0,1,2,136,small,big,Abandoned_Cart,Medical
84,0,Yup next stop.,3,Yup next stop,3,0,1,0,1,4,0,53,small,small,Revenue_Based,Industrial
85,0,"I call you later, don't have network. If urgnt, sms me.",11,"I call you later, don't have network",7,1,0,1,1,5,3,214,med,med,Engagement_Campaign,Real_Estate
86,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done,20,0,0,0,0,2,1,160,big,biggest,Survey,Real_Estate
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,Yes I started to send requests to make it but pain came back so I'm back in bed,18,1,0,1,0,4,0,74,big,biggest,Revenue_Based,Medical
88,0,I'm really not up to it still tonight babe,9,I'm really not up to it still tonight babe,9,1,0,0,0,0,0,52,small,big,Survey,Hospitality
89,0,"Ela kano.,il download, come wen ur free..",7,Ela kano,2,1,0,0,1,1,1,196,small,small,Engagement_Campaign,Industrial
90,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,10,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,10,1,1,0,1,1,0,131,small,big,Revenue_Based,Industrial
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,39,Sorry to be a pain,5,1,0,0,1,0,2,11,big,med,Promotional,Hospitality
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,0,1,0,0,3,3,206,big,biggest,No_Opener,Automotive
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,23,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,23,0,0,1,1,1,2,77,big,biggest,Promotional,Industrial
94,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,Havent planning to buy later,5,0,0,1,1,4,0,161,med,med,No_Opener,Real_Estate
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",22,Your free ringtone is waiting to be collected,8,0,1,0,0,4,3,107,big,med,Promotional,Real_Estate
96,0,Watching telugu movie..wat abt u?,5,Watching telugu movie,3,0,1,0,0,0,2,92,small,small,Revenue_Based,Medical
97,0,i see. When we finish we have loads of loans to pay,12,i see,2,1,0,0,1,2,1,36,med,small,Abandoned_Cart,Industrial
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",39,Hi,1,1,0,1,1,0,3,238,big,small,Engagement_Campaign,Medical
99,0,Please don't text me anymore. I have nothing else to say.,11,Please don't text me anymore,5,0,0,1,1,4,3,70,med,med,Promotional,Industrial
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,1,0,0,1,1,0,30,big,biggest,Promotional,Real_Estate
101,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,I'm still looking for a car to buy,8,0,1,1,1,3,2,140,med,med,No_Opener,Automotive
103,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,wow,1,0,0,0,1,0,2,54,big,small,Promotional,Medical
104,0,Umma my life and vava umma love you lot dear,10,Umma my life and vava umma love you lot dear,10,0,0,0,0,0,0,208,small,big,Engagement_Campaign,Industrial
105,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,Thanks a lot for your wishes on my birthday,9,0,1,1,0,4,0,152,med,big,Revenue_Based,Industrial
106,0,"Aight, I'll hit you up when I get some cash",10,"Aight, I'll hit you up when I get some cash",10,0,0,0,1,0,0,182,small,big,Survey,Automotive
107,0,How would my ip address test that considering my computer isn't a minecraft server,14,How would my ip address test that considering my computer isn't a minecraft server,14,0,0,0,1,4,1,31,med,bigger,Promotional,Medical
108,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,I know! Grumpy old people,5,0,0,0,1,3,0,230,big,med,Abandoned_Cart,Real_Estate
109,0,Dont worry. I guess he's busy.,6,Dont worry,2,0,0,0,1,2,2,117,small,small,Engagement_Campaign,Automotive
110,0,What is the plural of the noun research?,8,What is the plural of the noun research?,8,0,1,1,0,3,1,35,small,med,Survey,Industrial
111,0,Going for dinner.msg you after.,5,Going for dinner,3,1,0,0,0,1,1,7,small,small,Promotional,Hospitality
112,0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,I'm ok wif it cos i like 2 try new things,11,1,1,1,1,3,1,40,big,big,No_Opener,Real_Estate
113,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,GENT! We are trying to contact you,7,0,1,1,1,4,3,65,big,med,Abandoned_Cart,Hospitality
114,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,"Wa, ur openin sentence very formal",6,1,0,1,0,4,2,58,big,med,Revenue_Based,Real_Estate
115,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,"As I entered my cabin my PA said, '' Happy B'day Boss !!''",13,0,0,1,0,2,0,13,big,bigger,No_Opener,Hospitality
116,1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,27,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,27,1,0,0,0,1,2,22,big,biggest,Survey,Real_Estate
117,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,12,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,12,1,1,1,1,1,0,182,med,big,Revenue_Based,Industrial
118,0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,Hmm,1,0,0,1,1,4,1,31,med,small,Survey,Industrial
119,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points,12,1,1,0,0,2,1,90,med,big,Revenue_Based,Medical
120,1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,URGENT! Your Mobile No,4,0,1,1,1,0,0,187,big,small,Promotional,Hospitality
121,0,here is my new address -apples&pairs&all that malarky,8,here is my new address -apples&pairs&all that malarky,8,1,0,0,0,0,3,142,small,med,No_Opener,Medical
122,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,27,Todays Voda numbers ending 7548 are selected to receive a $350 award,12,0,1,1,0,4,3,182,big,big,Engagement_Campaign,Automotive
123,0,I am going to sao mu today. Will be done only at 12 ,13,I am going to sao mu today,7,0,1,0,0,2,3,76,med,med,Engagement_Campaign,Hospitality
124,0,ÌÏ predict wat time Ì_'ll finish buying?,7,ÌÏ predict wat time Ì_'ll finish buying?,7,1,1,0,0,2,2,128,small,med,Promotional,Real_Estate
125,0,"Good stuff, will do.",4,"Good stuff, will do",4,0,0,0,0,2,2,43,small,small,Survey,Automotive
126,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",46,"Just so that you know,yetunde hasn't sent money yet",9,1,0,0,1,4,0,87,biggest,big,No_Opener,Real_Estate
127,0,Are you there in room.,5,Are you there in room,5,1,0,1,1,2,3,109,small,med,Engagement_Campaign,Industrial
128,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,27,HEY GIRL,2,1,1,0,1,0,3,131,big,small,Promotional,Medical
129,0,K..k:)how much does it cost?,5,K,1,0,0,1,1,2,2,70,small,small,Promotional,Automotive
130,0,I'm home.,2,I'm home,2,1,0,0,1,0,2,34,small,small,Revenue_Based,Medical
131,0,"Dear, will call Tmorrow.pls accomodate.",5,"Dear, will call Tmorrow",4,1,1,0,1,5,3,188,small,small,No_Opener,Real_Estate
132,0,First answer my question.,4,First answer my question,4,1,0,0,1,4,2,129,small,small,Engagement_Campaign,Real_Estate
133,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,25,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277,23,1,1,0,0,1,1,206,big,biggest,Survey,Industrial
134,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,28,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt,26,0,0,0,0,1,1,206,big,biggest,Engagement_Campaign,Hospitality
135,0,I only haf msn. It's yijue@hotmail.com,6,I only haf msn,4,1,0,1,0,0,0,222,small,small,Survey,Real_Estate
136,0,He is there. You call and meet him,8,He is there,3,0,0,0,1,3,3,198,small,small,No_Opener,Automotive
137,0,No no. I will check all rooms befor activities,9,No no,2,0,1,1,1,4,1,192,small,small,Survey,Industrial
138,1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,32,You'll not rcv any more msgs from the chat svc,10,0,0,1,0,1,3,90,big,big,Promotional,Real_Estate
139,0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,20,Got c,2,0,0,1,1,1,2,160,med,small,Abandoned_Cart,Automotive
140,0,"K, text me when you're on the way",8,"K, text me when you're on the way",8,0,0,1,0,2,0,157,small,med,Abandoned_Cart,Hospitality
141,0,"Sir, Waiting for your mail.",5,"Sir, Waiting for your mail",5,1,1,0,1,3,1,231,small,med,Abandoned_Cart,Hospitality
142,0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",26,A swt thought: \Nver get tired of doing little things 4 lovable persons,13,1,1,1,1,4,0,197,big,bigger,Survey,Automotive
143,0,I know you are. Can you pls open the back?,10,I know you are,4,1,0,0,0,2,3,88,small,small,No_Opener,Hospitality
144,0,Yes see ya not on the dot,7,Yes see ya not on the dot,7,1,0,1,1,3,2,13,small,med,No_Opener,Automotive
145,0,Whats the staff name who is taking class for us?,10,Whats the staff name who is taking class for us?,10,0,0,0,1,4,3,201,small,big,No_Opener,Industrial
